id,title,description,style,color,season
1,Oversized Denim Jacket,Trendy pick for urban looks,chic,navy,autumn
2,Modern Poncho,Tailored fit for modern style,chic,camel,winter
3,Relaxed Dress,Tailored fit for modern style,bohemian,champagne,all
4,Elegant Maxi Dress,Soft knitted texture,chic,black,autumn
5,Oversized Maxi Dress,Relaxed silhouette for day-to-day comfort,athleisure,khaki,autumn
6,Slim Jeans,Designed for all-day wear,casual,navy,winter
7,Modern Kurti,Lightweight and comfortable,grunge,navy,night
8,Oversized Skirt,Perfect for layering in cool weather,evening,white,autumn
9,Relaxed Skirt,Soft knitted texture,chic,black,winter
10,Soft Co-ord Set,Tailored fit for modern style,bohemian,white,festive
11,Classic Romper,Trendy pick for urban looks,evening,black,festive
12,Relaxed Cardigan,Warm and cozy for cold weather,chic,cream,winter
13,Oversized Tunic Top,Flowy and breathable material,vintage,khaki,spring
14,Printed Kurta,Designed for all-day wear,outdoor,champagne,all
15,Modern Jumpsuit,Casual yet stylish everyday outfit,formal,yellow,summer
16,Soft Beanie,Trendy pick for urban looks,outdoor,blue,winter
17,Printed Scarf,Relaxed silhouette for day-to-day comfort,smart casual,pastel,festive
18,Modern Blouse,Soft knitted texture,outdoor,maroon,autumn
19,Elegant Kimono,Relaxed silhouette for day-to-day comfort,preppy,khaki,festive
20,Classic Party Top,Flowy and breathable material,preppy,beige,winter
21,Soft Hoodie,Perfect for layering in cool weather,minimalist,silver,autumn
22,Elegant Cargo Pants,Designed for all-day wear,grunge,silver,festive
23,Printed Maxi Dress,Flowy and breathable material,bohemian,cream,summer
24,Oversized Pencil Skirt,Embellished details for festive wear,chic,pink,festive
25,Soft Sweatpants,Designed for all-day wear,grunge,silver,all
26,Stylish Turtleneck,Perfect for layering in cool weather,preppy,champagne,autumn
27,Stylish Romper,Soft knitted texture,chic,gold,all
28,Stylish Blazer Dress,Designed for all-day wear,athleisure,green,festive
29,Printed Hoodie,Embellished details for festive wear,smart casual,black,summer
30,Slim Sweater,Soft knitted texture,grunge,navy,spring
31,Vintage Flannel Shirt,Lightweight and comfortable,athleisure,maroon,night
32,Relaxed Kurti,Soft knitted texture,chic,green,winter
33,Printed Kurta,Lightweight and comfortable,minimalist,grey,autumn
34,Classic Trousers,Designed for all-day wear,evening,grey,summer
35,Relaxed Romper,Lightweight and comfortable,athleisure,cream,spring
36,Vintage Overalls,Trendy pick for urban looks,formal,green,all
37,Slim Tunic,Lightweight and comfortable,preppy,cream,autumn
38,Vintage Leather Jacket,Soft knitted texture,evening,grey,summer
39,Modern Beanie,Tailored fit for modern style,athleisure,multicolor,night
40,Printed Maxi Dress,Designed for all-day wear,evening,multicolor,summer
41,Classic Blazer,Relaxed silhouette for day-to-day comfort,ethnic,brown,festive
42,Elegant Dupatta,Warm and cozy for cold weather,chic,silver,autumn
43,Elegant Scarf,Designed for all-day wear,party,beige,winter
44,Oversized Leather Jacket,Trendy pick for urban looks,bohemian,beige,all
45,Soft Beanie,Tailored fit for modern style,bohemian,pink,winter
46,Relaxed Jeans,Flowy and breathable material,vintage,cream,autumn
47,Relaxed Kurta,Perfect for layering in cool weather,outdoor,red,spring
48,Relaxed Cargo Pants,Lightweight and comfortable,streetwear,red,night
49,Printed Dress,Flowy and breathable material,chic,khaki,festive
50,Oversized Shorts,Casual yet stylish everyday outfit,streetwear,white,night
51,Oversized Kurti,Trendy pick for urban looks,athleisure,red,festive
52,Soft Kimono,Perfect for layering in cool weather,chic,grey,all
53,Slim Bomber Jacket,Soft knitted texture,ethnic,camel,winter
54,Stylish Co-ord Set,Embellished details for festive wear,streetwear,olive,spring
55,Classic Crop Hoodie,Lightweight and comfortable,athleisure,silver,spring
56,Classic Dress,Relaxed silhouette for day-to-day comfort,casual,brown,winter
57,Soft Shorts,Lightweight and comfortable,casual,black,winter
58,Printed Kimono,Tailored fit for modern style,chic,multicolor,winter
59,Vintage Saree,Designed for all-day wear,athleisure,pastel,spring
60,Relaxed Jumpsuit,Trendy pick for urban looks,grunge,olive,festive
61,Printed Party Top,Designed for all-day wear,vintage,gold,all
62,Soft Dungarees,Lightweight and comfortable,chic,silver,all
63,Relaxed Puffer Jacket,Relaxed silhouette for day-to-day comfort,preppy,silver,festive
64,Elegant Maxi Dress,Warm and cozy for cold weather,bohemian,khaki,all
65,Stylish Palazzo Pants,Casual yet stylish everyday outfit,grunge,beige,autumn
66,Vintage Co-ord Set,Flowy and breathable material,chic,beige,summer
67,Elegant Sweater,Tailored fit for modern style,formal,white,autumn
68,Oversized Overalls,Casual yet stylish everyday outfit,ethnic,grey,festive
69,Stylish Party Top,Designed for all-day wear,outdoor,pastel,festive
70,Modern Sweatpants,Warm and cozy for cold weather,chic,maroon,night
71,Oversized Skirt,Perfect for layering in cool weather,streetwear,olive,autumn
72,Slim Beanie,Designed for all-day wear,outdoor,multicolor,night
73,Elegant Kurti,Perfect for layering in cool weather,bohemian,olive,autumn
74,Classic Sweatpants,Perfect for layering in cool weather,grunge,white,festive
75,Elegant Sweatpants,Embellished details for festive wear,formal,olive,all
76,Oversized Beanie,Relaxed silhouette for day-to-day comfort,chic,blue,autumn
